species,pageviews,start_date,end_date
Galea_spixii,7302.0,20150701,20251218
Kerodon_rupestris,4651.0,20150701,20251218
Akodon_cursor,3178.0,20150701,20251218
Calomys_expulsus,1372.0,20150701,20251218
Calomys_mattevii,130.0,20150701,20251218
Cerradomys_langguthi,788.0,20150701,20251218
Cerradomys_vivoi,755.0,20150701,20251218
Euryoryzomys_russatus,1996.0,20150701,20251218
Holochilus_sciureus,1396.0,20150701,20251218
Holochilus_oxe,136.0,20150701,20251218
Hylaeamys_megacephalus,1316.0,20150701,20251218
Necromys_lasiurus,19492.0,20150701,20251218
Nectomys_rattus,900.0,20150701,20251218
Nectomys_squamipes,5050.0,20150701,20251218
Oecomys_catherinae,833.0,20150701,20251218
Oligoryzomys_mattogrossae,,20150701,20251218
Oligoryzomys_nigripes,3280.0,20150701,20251218
Oligoryzomys_rupestris,688.0,20150701,20251218
Oligoryzomys_stramineus,593.0,20150701,20251218
Oxymycterus_dasytrichus,840.0,20150701,20251218
Oxymycterus_delator,588.0,20150701,20251218
Pseudoryzomys_simplex,946.0,20150701,20251218
Rhipidomys_cariri,1061.0,20150701,20251218
Rhipidomys_macrurus,1275.0,20150701,20251218
Rhipidomys_mastacalis,2709.0,20150701,20251218
Wiedomys_cerradensis,1052.0,20150701,20251218
Wiedomys_pyrrhorhinos,2831.0,20150701,20251218
Makalata_didelphoides,772.0,20150701,20251218
Phyllomys_blainvilii,,20150701,20251218
Phyllomys_lamarum,480.0,20150701,20251218
Thrichomys_apereoides,19412.0,20150701,20251218
Thrichomys_inermis,1065.0,20150701,20251218
Thrichomys_laurentius,817.0,20150701,20251218
Trinomys_albispinus,850.0,20150701,20251218
Trinomys_yonenagae,425.0,20150701,20251218
