species,year,views
Akodon_cursor,2015,212
Akodon_cursor,2016,439
Akodon_cursor,2017,470
Akodon_cursor,2018,344
Akodon_cursor,2019,357
Akodon_cursor,2020,303
Akodon_cursor,2021,258
Akodon_cursor,2022,311
Akodon_cursor,2023,310
Akodon_cursor,2024,582
Akodon_cursor,2025,578
Akodon_cursor,2026,15
Calomys_expulsus,2015,140
Calomys_expulsus,2016,265
Calomys_expulsus,2017,312
Calomys_expulsus,2018,317
Calomys_expulsus,2019,279
Calomys_expulsus,2020,215
Calomys_expulsus,2021,228
Calomys_expulsus,2022,305
Calomys_expulsus,2023,314
Calomys_expulsus,2024,480
Calomys_expulsus,2025,426
Calomys_expulsus,2026,11
Calomys_mattevii,2015,--
Calomys_mattevii,2016,--
Calomys_mattevii,2017,--
Calomys_mattevii,2018,--
Calomys_mattevii,2019,--
Calomys_mattevii,2020,--
Calomys_mattevii,2021,--
Calomys_mattevii,2022,--
Calomys_mattevii,2023,55
Calomys_mattevii,2024,188
Calomys_mattevii,2025,187
Calomys_mattevii,2026,12
Cerradomys_langguthi,2015,596
Cerradomys_langguthi,2016,1347
Cerradomys_langguthi,2017,1092
Cerradomys_langguthi,2018,848
Cerradomys_langguthi,2019,912
Cerradomys_langguthi,2020,786
Cerradomys_langguthi,2021,836
Cerradomys_langguthi,2022,904
Cerradomys_langguthi,2023,824
Cerradomys_langguthi,2024,1153
Cerradomys_langguthi,2025,1134
Cerradomys_langguthi,2026,64
Cerradomys_vivoi,2015,639
Cerradomys_vivoi,2016,1538
Cerradomys_vivoi,2017,1991
Cerradomys_vivoi,2018,1604
Cerradomys_vivoi,2019,1370
Cerradomys_vivoi,2020,1036
Cerradomys_vivoi,2021,1130
Cerradomys_vivoi,2022,1325
Cerradomys_vivoi,2023,1312
Cerradomys_vivoi,2024,1758
Cerradomys_vivoi,2025,1698
Cerradomys_vivoi,2026,60
Euryoryzomys_russatus,2015,875
Euryoryzomys_russatus,2016,1533
Euryoryzomys_russatus,2017,1670
Euryoryzomys_russatus,2018,1341
Euryoryzomys_russatus,2019,5341
Euryoryzomys_russatus,2020,1704
Euryoryzomys_russatus,2021,1507
Euryoryzomys_russatus,2022,1604
Euryoryzomys_russatus,2023,1263
Euryoryzomys_russatus,2024,1829
Euryoryzomys_russatus,2025,1711
Euryoryzomys_russatus,2026,102
Galea_spixii,2015,332
Galea_spixii,2016,777
Galea_spixii,2017,626
Galea_spixii,2018,612
Galea_spixii,2019,557
Galea_spixii,2020,572
Galea_spixii,2021,543
Galea_spixii,2022,663
Galea_spixii,2023,818
Galea_spixii,2024,889
Galea_spixii,2025,851
Galea_spixii,2026,23
Holochilus_oxe,2015,--
Holochilus_oxe,2016,--
Holochilus_oxe,2017,--
Holochilus_oxe,2018,--
Holochilus_oxe,2019,--
Holochilus_oxe,2020,--
Holochilus_oxe,2021,--
Holochilus_oxe,2022,--
Holochilus_oxe,2023,--
Holochilus_oxe,2024,--
Holochilus_oxe,2025,2
Holochilus_oxe,2026,--
Holochilus_sciureus,2015,530
Holochilus_sciureus,2016,894
Holochilus_sciureus,2017,723
Holochilus_sciureus,2018,666
Holochilus_sciureus,2019,864
Holochilus_sciureus,2020,497
Holochilus_sciureus,2021,599
Holochilus_sciureus,2022,648
Holochilus_sciureus,2023,555
Holochilus_sciureus,2024,827
Holochilus_sciureus,2025,810
Holochilus_sciureus,2026,34
Hylaeamys_megacephalus,2015,852
Hylaeamys_megacephalus,2016,1734
Hylaeamys_megacephalus,2017,1601
Hylaeamys_megacephalus,2018,1344
Hylaeamys_megacephalus,2019,1465
Hylaeamys_megacephalus,2020,5255
Hylaeamys_megacephalus,2021,1378
Hylaeamys_megacephalus,2022,1424
Hylaeamys_megacephalus,2023,1349
Hylaeamys_megacephalus,2024,1742
Hylaeamys_megacephalus,2025,1747
Hylaeamys_megacephalus,2026,60
Kerodon_rupestris,2015,469
Kerodon_rupestris,2016,965
Kerodon_rupestris,2017,969
Kerodon_rupestris,2018,1009
Kerodon_rupestris,2019,1080
Kerodon_rupestris,2020,1240
Kerodon_rupestris,2021,1521
Kerodon_rupestris,2022,1774
Kerodon_rupestris,2023,1963
Kerodon_rupestris,2024,2344
Kerodon_rupestris,2025,2202
Kerodon_rupestris,2026,77
Makalata_didelphoides,2015,201
Makalata_didelphoides,2016,493
Makalata_didelphoides,2017,527
Makalata_didelphoides,2018,520
Makalata_didelphoides,2019,575
Makalata_didelphoides,2020,591
Makalata_didelphoides,2021,493
Makalata_didelphoides,2022,573
Makalata_didelphoides,2023,638
Makalata_didelphoides,2024,743
Makalata_didelphoides,2025,748
Makalata_didelphoides,2026,30
Necromys_lasiurus,2015,134
Necromys_lasiurus,2016,279
Necromys_lasiurus,2017,311
Necromys_lasiurus,2018,262
Necromys_lasiurus,2019,516
Necromys_lasiurus,2020,282
Necromys_lasiurus,2021,248
Necromys_lasiurus,2022,268
Necromys_lasiurus,2023,285
Necromys_lasiurus,2024,485
Necromys_lasiurus,2025,401
Necromys_lasiurus,2026,7
Nectomys_rattus,2015,480
Nectomys_rattus,2016,802
Nectomys_rattus,2017,1280
Nectomys_rattus,2018,1005
Nectomys_rattus,2019,1116
Nectomys_rattus,2020,950
Nectomys_rattus,2021,1090
Nectomys_rattus,2022,1182
Nectomys_rattus,2023,842
Nectomys_rattus,2024,1363
Nectomys_rattus,2025,1394
Nectomys_rattus,2026,81
Nectomys_squamipes,2015,772
Nectomys_squamipes,2016,1538
Nectomys_squamipes,2017,1887
Nectomys_squamipes,2018,1433
Nectomys_squamipes,2019,1490
Nectomys_squamipes,2020,1317
Nectomys_squamipes,2021,1542
Nectomys_squamipes,2022,1721
Nectomys_squamipes,2023,1506
Nectomys_squamipes,2024,2277
Nectomys_squamipes,2025,2742
Nectomys_squamipes,2026,103
Oecomys_catherinae,2015,730
Oecomys_catherinae,2016,1376
Oecomys_catherinae,2017,1797
Oecomys_catherinae,2018,1237
Oecomys_catherinae,2019,1184
Oecomys_catherinae,2020,1023
Oecomys_catherinae,2021,1179
Oecomys_catherinae,2022,1066
Oecomys_catherinae,2023,841
Oecomys_catherinae,2024,1290
Oecomys_catherinae,2025,1352
Oecomys_catherinae,2026,52
Oligoryzomys_mattogrossae,2015,N/A
Oligoryzomys_mattogrossae,2016,N/A
Oligoryzomys_mattogrossae,2017,N/A
Oligoryzomys_mattogrossae,2018,N/A
Oligoryzomys_mattogrossae,2019,N/A
Oligoryzomys_mattogrossae,2020,N/A
Oligoryzomys_mattogrossae,2021,N/A
Oligoryzomys_mattogrossae,2022,N/A
Oligoryzomys_mattogrossae,2023,N/A
Oligoryzomys_mattogrossae,2024,N/A
Oligoryzomys_mattogrossae,2025,N/A
Oligoryzomys_mattogrossae,2026,N/A
Oligoryzomys_nigripes,2015,1093
Oligoryzomys_nigripes,2016,1471
Oligoryzomys_nigripes,2017,1646
Oligoryzomys_nigripes,2018,1218
Oligoryzomys_nigripes,2019,1462
Oligoryzomys_nigripes,2020,1410
Oligoryzomys_nigripes,2021,1736
Oligoryzomys_nigripes,2022,1382
Oligoryzomys_nigripes,2023,1132
Oligoryzomys_nigripes,2024,1613
Oligoryzomys_nigripes,2025,1945
Oligoryzomys_nigripes,2026,86
Oligoryzomys_rupestris,2015,710
Oligoryzomys_rupestris,2016,1266
Oligoryzomys_rupestris,2017,1558
Oligoryzomys_rupestris,2018,1120
Oligoryzomys_rupestris,2019,1221
Oligoryzomys_rupestris,2020,932
Oligoryzomys_rupestris,2021,1113
Oligoryzomys_rupestris,2022,889
Oligoryzomys_rupestris,2023,927
Oligoryzomys_rupestris,2024,1224
Oligoryzomys_rupestris,2025,1275
Oligoryzomys_rupestris,2026,69
Oligoryzomys_stramineus,2015,1474
Oligoryzomys_stramineus,2016,1350
Oligoryzomys_stramineus,2017,1011
Oligoryzomys_stramineus,2018,811
Oligoryzomys_stramineus,2019,895
Oligoryzomys_stramineus,2020,778
Oligoryzomys_stramineus,2021,824
Oligoryzomys_stramineus,2022,886
Oligoryzomys_stramineus,2023,758
Oligoryzomys_stramineus,2024,1183
Oligoryzomys_stramineus,2025,1330
Oligoryzomys_stramineus,2026,47
Oxymycterus_dasytrichus,2015,103
Oxymycterus_dasytrichus,2016,249
Oxymycterus_dasytrichus,2017,219
Oxymycterus_dasytrichus,2018,248
Oxymycterus_dasytrichus,2019,225
Oxymycterus_dasytrichus,2020,147
Oxymycterus_dasytrichus,2021,136
Oxymycterus_dasytrichus,2022,217
Oxymycterus_dasytrichus,2023,190
Oxymycterus_dasytrichus,2024,290
Oxymycterus_dasytrichus,2025,305
Oxymycterus_dasytrichus,2026,3
Oxymycterus_delator,2015,168
Oxymycterus_delator,2016,354
Oxymycterus_delator,2017,340
Oxymycterus_delator,2018,280
Oxymycterus_delator,2019,256
Oxymycterus_delator,2020,234
Oxymycterus_delator,2021,234
Oxymycterus_delator,2022,260
Oxymycterus_delator,2023,275
Oxymycterus_delator,2024,325
Oxymycterus_delator,2025,327
Oxymycterus_delator,2026,14
Phyllomys_blainvilii,2015,187
Phyllomys_blainvilii,2016,440
Phyllomys_blainvilii,2017,365
Phyllomys_blainvilii,2018,338
Phyllomys_blainvilii,2019,333
Phyllomys_blainvilii,2020,305
Phyllomys_blainvilii,2021,308
Phyllomys_blainvilii,2022,406
Phyllomys_blainvilii,2023,393
Phyllomys_blainvilii,2024,409
Phyllomys_blainvilii,2025,432
Phyllomys_blainvilii,2026,8
Phyllomys_lamarum,2015,184
Phyllomys_lamarum,2016,421
Phyllomys_lamarum,2017,381
Phyllomys_lamarum,2018,291
Phyllomys_lamarum,2019,339
Phyllomys_lamarum,2020,315
Phyllomys_lamarum,2021,278
Phyllomys_lamarum,2022,332
Phyllomys_lamarum,2023,378
Phyllomys_lamarum,2024,432
Phyllomys_lamarum,2025,411
Phyllomys_lamarum,2026,10
Pseudoryzomys_simplex,2015,155
Pseudoryzomys_simplex,2016,410
Pseudoryzomys_simplex,2017,363
Pseudoryzomys_simplex,2018,257
Pseudoryzomys_simplex,2019,404
Pseudoryzomys_simplex,2020,250
Pseudoryzomys_simplex,2021,245
Pseudoryzomys_simplex,2022,301
Pseudoryzomys_simplex,2023,264
Pseudoryzomys_simplex,2024,588
Pseudoryzomys_simplex,2025,515
Pseudoryzomys_simplex,2026,13
Rhipidomys_cariri,2015,104
Rhipidomys_cariri,2016,235
Rhipidomys_cariri,2017,227
Rhipidomys_cariri,2018,228
Rhipidomys_cariri,2019,259
Rhipidomys_cariri,2020,158
Rhipidomys_cariri,2021,185
Rhipidomys_cariri,2022,210
Rhipidomys_cariri,2023,211
Rhipidomys_cariri,2024,331
Rhipidomys_cariri,2025,287
Rhipidomys_cariri,2026,7
Rhipidomys_macrurus,2015,131
Rhipidomys_macrurus,2016,326
Rhipidomys_macrurus,2017,302
Rhipidomys_macrurus,2018,235
Rhipidomys_macrurus,2019,254
Rhipidomys_macrurus,2020,185
Rhipidomys_macrurus,2021,155
Rhipidomys_macrurus,2022,241
Rhipidomys_macrurus,2023,218
Rhipidomys_macrurus,2024,360
Rhipidomys_macrurus,2025,345
Rhipidomys_macrurus,2026,21
Rhipidomys_mastacalis,2015,161
Rhipidomys_mastacalis,2016,405
Rhipidomys_mastacalis,2017,297
Rhipidomys_mastacalis,2018,260
Rhipidomys_mastacalis,2019,277
Rhipidomys_mastacalis,2020,215
Rhipidomys_mastacalis,2021,207
Rhipidomys_mastacalis,2022,264
Rhipidomys_mastacalis,2023,277
Rhipidomys_mastacalis,2024,376
Rhipidomys_mastacalis,2025,316
Rhipidomys_mastacalis,2026,13
Thrichomys_apereoides,2015,170
Thrichomys_apereoides,2016,349
Thrichomys_apereoides,2017,324
Thrichomys_apereoides,2018,304
Thrichomys_apereoides,2019,299
Thrichomys_apereoides,2020,297
Thrichomys_apereoides,2021,303
Thrichomys_apereoides,2022,481
Thrichomys_apereoides,2023,503
Thrichomys_apereoides,2024,584
Thrichomys_apereoides,2025,594
Thrichomys_apereoides,2026,21
Thrichomys_inermis,2015,93
Thrichomys_inermis,2016,197
Thrichomys_inermis,2017,210
Thrichomys_inermis,2018,204
Thrichomys_inermis,2019,209
Thrichomys_inermis,2020,181
Thrichomys_inermis,2021,184
Thrichomys_inermis,2022,253
Thrichomys_inermis,2023,257
Thrichomys_inermis,2024,394
Thrichomys_inermis,2025,403
Thrichomys_inermis,2026,18
Thrichomys_laurentius,2015,--
Thrichomys_laurentius,2016,--
Thrichomys_laurentius,2017,--
Thrichomys_laurentius,2018,--
Thrichomys_laurentius,2019,518
Thrichomys_laurentius,2020,584
Thrichomys_laurentius,2021,695
Thrichomys_laurentius,2022,734
Thrichomys_laurentius,2023,504
Thrichomys_laurentius,2024,748
Thrichomys_laurentius,2025,872
Thrichomys_laurentius,2026,55
Trinomys_albispinus,2015,219
Trinomys_albispinus,2016,543
Trinomys_albispinus,2017,513
Trinomys_albispinus,2018,406
Trinomys_albispinus,2019,528
Trinomys_albispinus,2020,481
Trinomys_albispinus,2021,442
Trinomys_albispinus,2022,810
Trinomys_albispinus,2023,742
Trinomys_albispinus,2024,776
Trinomys_albispinus,2025,764
Trinomys_albispinus,2026,23
Trinomys_yonenagae,2015,265
Trinomys_yonenagae,2016,579
Trinomys_yonenagae,2017,582
Trinomys_yonenagae,2018,442
Trinomys_yonenagae,2019,584
Trinomys_yonenagae,2020,486
Trinomys_yonenagae,2021,507
Trinomys_yonenagae,2022,658
Trinomys_yonenagae,2023,582
Trinomys_yonenagae,2024,813
Trinomys_yonenagae,2025,714
Trinomys_yonenagae,2026,22
Wiedomys_cerradensis,2015,97
Wiedomys_cerradensis,2016,263
Wiedomys_cerradensis,2017,239
Wiedomys_cerradensis,2018,226
Wiedomys_cerradensis,2019,237
Wiedomys_cerradensis,2020,186
Wiedomys_cerradensis,2021,193
Wiedomys_cerradensis,2022,192
Wiedomys_cerradensis,2023,212
Wiedomys_cerradensis,2024,370
Wiedomys_cerradensis,2025,344
Wiedomys_cerradensis,2026,10
Wiedomys_pyrrhorhinos,2015,209
Wiedomys_pyrrhorhinos,2016,406
Wiedomys_pyrrhorhinos,2017,361
Wiedomys_pyrrhorhinos,2018,297
Wiedomys_pyrrhorhinos,2019,318
Wiedomys_pyrrhorhinos,2020,311
Wiedomys_pyrrhorhinos,2021,290
Wiedomys_pyrrhorhinos,2022,386
Wiedomys_pyrrhorhinos,2023,358
Wiedomys_pyrrhorhinos,2024,502
Wiedomys_pyrrhorhinos,2025,549
Wiedomys_pyrrhorhinos,2026,14
